127.0.0.1 - - [09/Apr/2024:13:31:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2024:13:31:38 +0530] "GET /WebAppAdv/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [09/Apr/2024:13:31:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:22:16 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:22:55 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:23:24 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:24:40 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:25:08 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:25:17 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:26:01 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:27:00 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:27:19 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:28:01 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:51:24 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:51:37 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:09:41 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:13:18 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:14:17 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:15:17 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:17:32 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:42:26 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:46:36 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:46:51 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:47:47 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [09/Apr/2024:15:47:56 +0530] "GET /WebAppAdv/index.jsp HTTP/1.1" 200 936
